port_name,ship_count,category,needs_research
Old Calabar,35,likely_real_port,True
Sund,34,likely_real_port,True
"Dalhousie, N.B.",34,likely_real_port,True
Madras,34,likely_real_port,True
Kopmanholmen,34,likely_real_port,True
Lisbon,34,likely_real_port,True
Fredriksvoern,34,likely_real_port,True
Hernoesand,34,likely_real_port,True
St. Domingo,33,likely_real_port,True
Goteborg,33,likely_real_port,True
"Miramichi, N.B.",33,likely_real_port,True
Christianssand,33,likely_real_port,True
Abyn,32,likely_real_port,True
Bure,32,likely_real_port,True
Westerwick,31,likely_real_port,True
F'stad,31,likely_real_port,True
Ghent,31,likely_real_port,True
Wederlaks,31,likely_real_port,True
CALEDONIAN SAW,31,likely_real_port,True
Harburg,30,likely_real_port,True
Holmstad,30,likely_real_port,True
West Indies,30,likely_real_port,True
Landerneau,30,likely_real_port,True
Stromstad,30,likely_real_port,True
Cienfuegos,29,likely_real_port,True
Burea,29,likely_real_port,True
Melbourne,29,likely_real_port,True
Wilmington,29,likely_real_port,True
),29,ocr_error,False
Stockasag,28,likely_real_port,True
Maracaibo,28,likely_real_port,True
Koja,28,likely_real_port,True
Cologne,28,likely_real_port,True
"mills, Grangemouth, & Kilmarnock Saw",28,ambiguous,True
Laguna de Terminos,27,likely_real_port,True
Helsingborg,27,likely_real_port,True
Axim,27,likely_real_port,True
Tonala,26,likely_real_port,True
Stromfors,26,likely_real_port,True
Venice,25,likely_real_port,True
Charente,25,likely_real_port,True
Kalix,25,likely_real_port,True
Wiborg,25,likely_real_port,True
Gustafsberg,25,likely_real_port,True
P'burg,25,likely_real_port,True
Sandviken,25,likely_real_port,True
Marie,25,likely_real_port,True
Shédiac,24,likely_real_port,True
"Cronstadt,",24,likely_real_port,True
Kovda,24,likely_real_port,True
Brahestad,23,likely_real_port,True
Saltvik,23,likely_real_port,True
Pont l'Abbé,23,likely_real_port,True
Fredrickstadt,23,likely_real_port,True
Prussia,23,likely_real_port,True
Oscarsham,23,likely_real_port,True
Werkeback,23,likely_real_port,True
Treport,23,likely_real_port,True
Oplo,23,likely_real_port,True
Batoum,23,likely_real_port,True
Snaroen,23,likely_real_port,True
Poti,22,likely_real_port,True
Porto Plata,22,likely_real_port,True
Frederickstadt,22,likely_real_port,True
Wisby,22,likely_real_port,True
Stockaviken,22,likely_real_port,True
Weener,22,likely_real_port,True
Ny Karleby,22,likely_real_port,True
Leghorn,22,likely_real_port,True
Chicontimi,22,likely_real_port,True
Auckland,22,likely_real_port,True
East London,22,likely_real_port,True
"Richibucto, N.B.",21,likely_real_port,True
Raumo,21,likely_real_port,True
Kylorn,21,likely_real_port,True
John,21,likely_real_port,True
Ranea,21,likely_real_port,True
Bangsund,21,likely_real_port,True
Paskallavik,21,likely_real_port,True
Jerfed,21,likely_real_port,True
"Brunswick, Ga.",21,likely_real_port,True
Furuogrund,21,likely_real_port,True
Corvo,21,likely_real_port,True
Gothenberg,20,likely_real_port,True
"Charlotte Town, P.E.I.",20,likely_real_port,True
"Christiania, &c.",20,likely_real_port,True
"Gefle,",20,likely_real_port,True
Marieberg,20,likely_real_port,True
Bindalen,20,likely_real_port,True
Trehiguier,20,likely_real_port,True
Sornas,20,likely_real_port,True
Cronstad,20,likely_real_port,True
Albany,20,likely_real_port,True
Danzic,19,likely_real_port,True
Frederikstadt,19,likely_real_port,True
Puerto Cortes,19,likely_real_port,True
Oporto,19,likely_real_port,True
Nuevitas,19,likely_real_port,True
Pontaven,19,likely_real_port,True
Sault,19,likely_real_port,True
Bernard,19,likely_real_port,True
"Bay Verte, N.B.",19,likely_real_port,True
Skönvik,19,likely_real_port,True
News,19,likely_real_port,True
Mariehamn,19,likely_real_port,True
"Timber, and every description of Shipbuilding Wood.",19,parsing_error,False
Cape Tormentine,19,likely_real_port,True
mills at Bo'ness. Vice,19,ambiguous,True
Tunadal,18,likely_real_port,True
"Quebec, -",18,ambiguous,True
Mexico,18,likely_real_port,True
"Musquash, N.B.",18,likely_real_port,True
Holmstadt,18,likely_real_port,True
Svelvig,18,likely_real_port,True
Kubikenborg,18,likely_real_port,True
Cape Town,18,likely_real_port,True
Montreal and Quebec,18,likely_real_port,True
Nielsen,18,likely_real_port,True
Alne,18,likely_real_port,True
Rockingham,18,likely_real_port,True
Manilla,17,likely_real_port,True
P. E. Island,17,ambiguous,True
Stromnas,17,likely_real_port,True
"Charleston, S.C.",17,likely_real_port,True
Soon,17,likely_real_port,True
Uto,17,ocr_error,False
"Campbellton, N.B.",17,likely_real_port,True
Olsen,17,likely_real_port,True
Rio Janeiro,17,likely_real_port,True
Rosario,17,likely_real_port,True
Richmond,16,likely_real_port,True
Sandefiord,16,likely_real_port,True
"Riga,",16,likely_real_port,True
Nystad,16,likely_real_port,True
Trinidad,16,likely_real_port,True
St. Margaret's Bay,16,likely_real_port,True
Dantzie,16,likely_real_port,True
Rimouski,16,likely_real_port,True
Trouville,16,likely_real_port,True
Pyterlaks,16,likely_real_port,True
mills at Bo'ness. VICE,16,ambiguous,True
Knysna,16,likely_real_port,True
Panillac,16,likely_real_port,True
Gaspe,15,likely_real_port,True
Gottenburg,15,likely_real_port,True
Brake,15,likely_real_port,True
W. Indies,15,likely_real_port,True
Christinestadt,15,likely_real_port,True
Quebec.,15,likely_real_port,True
"Hernosand,",15,likely_real_port,True
F'shald,15,likely_real_port,True
Parrsbro',15,likely_real_port,True
Caen,15,likely_real_port,True
"Campbeltown, N.B.",15,likely_real_port,True
North,15,likely_real_port,True
Bros.,15,likely_real_port,True
Mason,15,likely_real_port,True
"Port Royal, S.C.",15,likely_real_port,True
Ramvik,15,likely_real_port,True
Curacao,15,likely_real_port,True
Skein,15,likely_real_port,True
Obbola,15,likely_real_port,True
Freemantle,15,likely_real_port,True
Keret,15,likely_real_port,True
Office,15,likely_real_port,True
"Buctouche, N.B.",14,likely_real_port,True
Tabasco,14,likely_real_port,True
Truxillo,14,likely_real_port,True
Riisoer,14,likely_real_port,True
Aarhuus,14,likely_real_port,True
Frederiksvoern,14,likely_real_port,True
Kopmansholmen,14,likely_real_port,True
Caraminal,14,likely_real_port,True
Krageröe,14,likely_real_port,True
River Ouelle,14,likely_real_port,True
Schiedam,14,likely_real_port,True
Honfleur,14,likely_real_port,True
Sada,14,likely_real_port,True
St. Etienne,14,likely_real_port,True
Ship Harbour,13,likely_real_port,True
"Sackville, N.B.",13,likely_real_port,True
Magdalen River,13,likely_real_port,True
"Danzig, -",13,ambiguous,True
Santa Anna,13,likely_real_port,True
France,13,likely_real_port,True
Youghal,13,likely_real_port,True
"Portland, Maine",13,likely_real_port,True
Campbelton,13,likely_real_port,True
Belon,13,likely_real_port,True
Solstadstrom,13,likely_real_port,True
"Sheet Harbour, N.S.",13,likely_real_port,True
Rivers,13,likely_real_port,True
Bilbao,13,likely_real_port,True
Port Louis,13,likely_real_port,True
Economy,13,likely_real_port,True
Chicoutimi,13,likely_real_port,True
Vera Cruz,13,likely_real_port,True
Camarinas,13,likely_real_port,True
Sim,13,ocr_error,False
Vivero,13,likely_real_port,True
Hansen,13,likely_real_port,True
Kaunissaari,13,likely_real_port,True
"Portland, O.",13,likely_real_port,True
Pentecost,13,likely_real_port,True
Port Blakeley,13,likely_real_port,True
Sabine Pass,13,likely_real_port,True
Tupilco,12,likely_real_port,True
"Memel, -",12,ambiguous,True
Tillingnabben,12,likely_real_port,True
Prince Edward Island,12,likely_real_port,True
Caraquet,12,likely_real_port,True
Fredrickstad,12,likely_real_port,True
Liscombe,12,likely_real_port,True
Nazaire,12,likely_real_port,True
Villa Garcia,12,likely_real_port,True
Treguier,12,likely_real_port,True
Betsiamitz,12,likely_real_port,True
Sackville,12,likely_real_port,True
Cardenas,12,likely_real_port,True
Gideabacka,12,likely_real_port,True
Grand Pabos,12,likely_real_port,True
Harg,12,likely_real_port,True
"Campbelltown, N.B.",12,likely_real_port,True
Sevastopol,12,likely_real_port,True
Alfredshem,12,likely_real_port,True
Harvey,12,likely_real_port,True
Wood,12,parsing_error,False
Makslaks,12,likely_real_port,True
Orkedalsoren,11,likely_real_port,True
St. Lucia,11,likely_real_port,True
LIVERPOOL.,11,likely_real_port,True
Bay,11,ocr_error,False
Nassau,11,likely_real_port,True
Hornefors,11,likely_real_port,True
Fredrickshald,11,likely_real_port,True
Essviken,11,likely_real_port,True
Rusoer,11,likely_real_port,True
"Bridgewater, N.S.",11,likely_real_port,True
Dalkarlsa,11,likely_real_port,True
New Ross,11,likely_real_port,True
Trehiguer,11,likely_real_port,True
Svano,11,likely_real_port,True
Xiansand,11,likely_real_port,True
Castle,11,likely_real_port,True
Louvain,11,likely_real_port,True
Meschers,11,likely_real_port,True
Brisbane,11,likely_real_port,True
"Bridgwater, N.S.",11,likely_real_port,True
Warburg,11,likely_real_port,True
Hamnholmen,11,likely_real_port,True
Ulfvik,11,likely_real_port,True
Pabos,11,likely_real_port,True
Verte,11,likely_real_port,True
Johansson,11,likely_real_port,True
Nykarleby,11,likely_real_port,True
Island,11,likely_real_port,True
Dal,11,ocr_error,False
Sando,11,likely_real_port,True
Head,11,likely_real_port,True
Berggvara,11,likely_real_port,True
Agents,11,likely_real_port,True
Telegrams,11,likely_real_port,True
"Portland, Me",11,likely_real_port,True
Lyngoer,10,likely_real_port,True
Sprangsviken,10,likely_real_port,True
Stolpemunde,10,likely_real_port,True
St. Anna,10,likely_real_port,True
Africa,10,likely_real_port,True
Twedestrand,10,likely_real_port,True
Gaboon,10,likely_real_port,True
Finland,10,likely_real_port,True
Xtiania,10,likely_real_port,True
Plata,10,likely_real_port,True
Picton,10,likely_real_port,True
Son,10,ocr_error,False
Ornskjoldvik,10,likely_real_port,True
St. P'burg,10,ambiguous,True
Wifsta Warf,10,likely_real_port,True
Rochelle,10,likely_real_port,True
Harlingen,10,likely_real_port,True
Santos,10,likely_real_port,True
"Ship Harbour, N.S.",10,likely_real_port,True
Launay,10,likely_real_port,True
Quebec & Montreal,10,likely_real_port,True
Bay de Verte,10,likely_real_port,True
Brazil,10,likely_real_port,True
Stenkjor,10,likely_real_port,True
Campbeltown,10,likely_real_port,True
Knudsen,10,likely_real_port,True
Mills,10,likely_real_port,True
"Portland, M.",10,likely_real_port,True
Panama,10,likely_real_port,True
Christianopel,10,likely_real_port,True
Lagos,10,likely_real_port,True
Barcelona,10,likely_real_port,True
Mo,10,ocr_error,False
Bunbury,10,likely_real_port,True
St. George,9,likely_real_port,True
Ullanger,9,likely_real_port,True
Black River,9,likely_real_port,True
"Weymouth, N.S.",9,likely_real_port,True
"Riga, -",9,ambiguous,True
Taganrog,9,likely_real_port,True
Wifstavarf,9,likely_real_port,True
St. Servan,9,likely_real_port,True
Fredriksham,9,likely_real_port,True
Vancouver,9,likely_real_port,True
Annapolis,9,likely_real_port,True
Ystad,9,likely_real_port,True
Lockno,9,likely_real_port,True
Ekenas,9,likely_real_port,True
Bridgewater,9,likely_real_port,True
Drag,9,likely_real_port,True
Havana,9,likely_real_port,True
Tillingenabben,9,likely_real_port,True
"Memel,",9,likely_real_port,True
Nykoping,9,likely_real_port,True
Newfoundland,9,likely_real_port,True
Rodestrand,9,likely_real_port,True
Santa Cruz,9,likely_real_port,True
"Yarmouth, N.S.",9,likely_real_port,True
Java,9,likely_real_port,True
Madsen,9,likely_real_port,True
Brieux,9,likely_real_port,True
"Guysborough, N.S.",9,likely_real_port,True
Throndhjem,9,likely_real_port,True
Barahona,9,likely_real_port,True
Anna,9,likely_real_port,True
Essvik,9,likely_real_port,True
Cadiz,9,likely_real_port,True
Kasko,9,likely_real_port,True
Wolff,9,likely_real_port,True
Larsen,9,likely_real_port,True
Halifax and Baltimore,9,likely_real_port,True
St. Simons,9,likely_real_port,True
Hillsborough,9,likely_real_port,True
Calicut,9,likely_real_port,True
Ny Carleby,8,likely_real_port,True
Akyab,8,likely_real_port,True
Bonny,8,likely_real_port,True
Hobart Town,8,likely_real_port,True
Gamla Carleby,8,likely_real_port,True
N. York,8,likely_real_port,True
Lysekil,8,likely_real_port,True
Fredrickshamn,8,likely_real_port,True
Nedercalix,8,likely_real_port,True
Carleby,8,likely_real_port,True
Karleby,8,likely_real_port,True
Sons,8,likely_real_port,True
Söderhamn,8,likely_real_port,True
Altona,8,likely_real_port,True
Maria,8,likely_real_port,True
Edward,8,likely_real_port,True
F'stadt,8,likely_real_port,True
Oskarshamn,8,likely_real_port,True
Tlacotalpam,8,likely_real_port,True
Dago,8,likely_real_port,True
Konigsburg,8,likely_real_port,True
Sault au Cochon,8,likely_real_port,True
Forsgrund,8,likely_real_port,True
Sherbrooke,8,likely_real_port,True
Aland,8,likely_real_port,True
Manzanillo,8,likely_real_port,True
Valparaiso,8,likely_real_port,True
Vlaardingen,8,likely_real_port,True
Frederickshald,8,likely_real_port,True
"St. Margaret's Bay, N.S.",8,likely_real_port,True
Malo,8,likely_real_port,True
Faon,8,likely_real_port,True
Puerto Plata,8,likely_real_port,True
Cherbourg,8,likely_real_port,True
Trieste and Fiume,8,likely_real_port,True
Krageros,8,likely_real_port,True
Fredriksværn,8,likely_real_port,True
Karlscrona,8,likely_real_port,True
Ursviken,8,likely_real_port,True
Wyre,8,likely_real_port,True
Francisco,8,likely_real_port,True
Halifax and Philadelphia,8,likely_real_port,True
St. Simon's,8,likely_real_port,True
SAW,8,ambiguous,True
Tunas de Zaza,8,likely_real_port,True
"Planks, in all thicknesses and widths, are sold by Hoar & Brown, East Wood Wharf, West India Docks, E. Telegrams",8,parsing_error,False
Manila,8,likely_real_port,True
Sandswall,8,likely_real_port,True
Gambleby,8,likely_real_port,True
Ness,8,likely_real_port,True
Bassein,7,likely_real_port,True
Sandiefiord,7,likely_real_port,True
St. Mary's,7,ambiguous,True
Norkoping,7,likely_real_port,True
Bermuda,7,likely_real_port,True
Summerside,7,likely_real_port,True
"Montreal, &c.",7,ambiguous,True
Christianople,7,likely_real_port,True
Limerick,7,likely_real_port,True
Papenburg,7,likely_real_port,True
Nynhamn,7,likely_real_port,True
States,7,likely_real_port,True
Mariehill,7,likely_real_port,True
America,7,likely_real_port,True
River,7,likely_real_port,True
Mauritius,7,likely_real_port,True
West Coast of Africa,7,likely_real_port,True
Dort,7,likely_real_port,True
Skutakar,7,likely_real_port,True
Hudickswall,7,likely_real_port,True
Bollsta Bruk,7,likely_real_port,True
Noya,7,likely_real_port,True
Wicklow,7,likely_real_port,True
Alvik,7,likely_real_port,True
Brahestadt,7,likely_real_port,True
Bruges,7,likely_real_port,True
Louise,7,likely_real_port,True
"Liscombe, N.S.",7,likely_real_port,True
Oregrund,7,likely_real_port,True
Old Harbour,7,likely_real_port,True
Corcubion,7,likely_real_port,True
Corinto,7,likely_real_port,True
N.B.,7,ocr_error,False
Minde,7,likely_real_port,True
Furnogrund,7,likely_real_port,True
Campbelltown,7,likely_real_port,True
Brunne,7,likely_real_port,True
Marin,7,likely_real_port,True
Bremerhaven,7,likely_real_port,True
Bjorknas,7,likely_real_port,True
Karlstad,7,likely_real_port,True
Dansig,7,likely_real_port,True
Yokohama,7,likely_real_port,True
Millers & Packing,7,likely_real_port,True
Norrtelge,7,likely_real_port,True
St Petersburg,7,likely_real_port,True
Kalajoki,7,likely_real_port,True
Hong Kong,7,likely_real_port,True
"Darien, Ga.",7,likely_real_port,True
Bjorko,7,likely_real_port,True
Curacoa,7,likely_real_port,True
Norrvik,7,likely_real_port,True
Freigo,7,likely_real_port,True
Liban,7,likely_real_port,True
Bolestrand,7,likely_real_port,True
Laurvik,7,likely_real_port,True
Risby,7,likely_real_port,True
Trois Pistoles,7,likely_real_port,True
"Address,",7,likely_real_port,True
"Gothenburg, -",6,likely_real_port,True
Punta Arenas,6,likely_real_port,True
Levanger,6,likely_real_port,True
"Christiania, -",6,likely_real_port,True
Pernambuco,6,likely_real_port,True
Nynamn,6,likely_real_port,True
Svartwik,6,likely_real_port,True
Sprangviken,6,likely_real_port,True
"Sherbrooke, N.S.",6,likely_real_port,True
Wistawarf,6,likely_real_port,True
"Africa, W.C.",6,ambiguous,True
Chiltepec,6,likely_real_port,True
Tredestrand,6,likely_real_port,True
Soraker,6,likely_real_port,True
Mary's,6,likely_real_port,True
Dronthiem,6,likely_real_port,True
Hangesund,6,likely_real_port,True
Oscar,6,likely_real_port,True
Soderham,6,likely_real_port,True
"Christiansund,",6,likely_real_port,True
"Stettin,",6,likely_real_port,True
"Hartlepool,",6,likely_real_port,True
"Sundsvall,",6,likely_real_port,True
Brown,6,likely_real_port,True
Victoria,6,likely_real_port,True
Camarina,6,likely_real_port,True
Frontera,6,likely_real_port,True
Wiener,6,likely_real_port,True
New Brunswick,6,likely_real_port,True
Pont Neuf,6,likely_real_port,True
Paramaribo,6,likely_real_port,True
Alfred,6,likely_real_port,True
Olaf,6,likely_real_port,True
St. Ubes,6,likely_real_port,True
Carthagena,6,likely_real_port,True
"St. John's, N.F.",6,ocr_error,False
Puerto Cortez,6,likely_real_port,True
La Trinite,6,likely_real_port,True
Mesquer,6,likely_real_port,True
Legue,6,likely_real_port,True
Elsinore,6,likely_real_port,True
Schooner,6,likely_real_port,True
"Bay Verte, N.S.",6,likely_real_port,True
Charlotte,6,likely_real_port,True
Baltic,6,likely_real_port,True
Catania,6,likely_real_port,True
Board,6,likely_real_port,True
Berbice,6,likely_real_port,True
Lilla Vartan,6,likely_real_port,True
"St John, N.B.",6,ambiguous,True
Demarara,6,likely_real_port,True
Fredriksbald,6,likely_real_port,True
Queen,6,likely_real_port,True
"Alma, N.B.",6,ambiguous,True
Newfairwater,6,likely_real_port,True
"Portland, Oregon",6,likely_real_port,True
"Mobile, Ala.",6,likely_real_port,True
Yttersfors,6,likely_real_port,True
Kaipara,6,likely_real_port,True
Escoumains,6,likely_real_port,True
Le Tremblade,6,likely_real_port,True
"Hillsboro', N.B.",6,ambiguous,True
Rafo,6,likely_real_port,True
Nacka,6,likely_real_port,True
Kragerö,6,likely_real_port,True
West Point,6,likely_real_port,True
Husbyvik,6,likely_real_port,True
Victoria Patent Saw,6,likely_real_port,True
Assinee,6,likely_real_port,True
Monte Christi,6,likely_real_port,True
West Coast Africa,6,likely_real_port,True
Port Blakely,6,likely_real_port,True
Rafeo,6,likely_real_port,True
Repola,6,likely_real_port,True
Portland Me.,6,likely_real_port,True
Manzanilla,5,likely_real_port,True
Christensen,5,likely_real_port,True
"Bangor, U.S.",5,ambiguous,True
Revel,5,likely_real_port,True
Musquodoboit,5,likely_real_port,True
Cochin,5,likely_real_port,True
Bolderaa,5,likely_real_port,True
Calais,5,likely_real_port,True
"Cocagne, N.B.",5,ambiguous,True
Ostrand,5,likely_real_port,True
Mary,5,likely_real_port,True
Horten,5,likely_real_port,True
"Stockholm, &c.",5,likely_real_port,True
Cuba,5,likely_real_port,True
Thomas,5,likely_real_port,True
San Domingo,5,likely_real_port,True
Arenas,5,likely_real_port,True
Caraquette,5,likely_real_port,True
Lubeck,5,likely_real_port,True
Cocagne,5,likely_real_port,True
"Dantzic,",5,likely_real_port,True
Pont Aven,5,likely_real_port,True
Halsoen,5,likely_real_port,True
Oak Bay,5,likely_real_port,True
Fritzoe,5,likely_real_port,True
Halsta,5,likely_real_port,True
Vigo,5,likely_real_port,True
Xinestad,5,likely_real_port,True
St. Ana,5,likely_real_port,True
Klampenborg,5,likely_real_port,True
Muhlgraben,5,likely_real_port,True
Orkedalen,5,likely_real_port,True
Cape Breton,5,likely_real_port,True
"Oak Bay, N.B.",5,likely_real_port,True
Esbjerg,5,likely_real_port,True
Norrkopping,5,likely_real_port,True
Dock,5,likely_real_port,True
La Roche Bernard,5,likely_real_port,True
Montego Bay,5,likely_real_port,True
Georgia,5,likely_real_port,True
Town,5,likely_real_port,True
Katthammarsvik,5,likely_real_port,True
Kungsgarden,5,likely_real_port,True
Hayti,5,likely_real_port,True
Wolgast,5,likely_real_port,True
Adelaide,5,likely_real_port,True
Sanda,5,likely_real_port,True
Buildings.,5,parsing_error,False
Shanghai,5,likely_real_port,True
Chalmers,5,likely_real_port,True
Villa garcia,5,likely_real_port,True
Wifsta,5,likely_real_port,True
Calabar,5,likely_real_port,True
Wales,5,likely_real_port,True
Fredikshald,5,likely_real_port,True
Rosso,5,likely_real_port,True
Skutska,5,likely_real_port,True
Gustafshamn,5,likely_real_port,True
Orient,5,likely_real_port,True
Adolf,5,likely_real_port,True
Nelson,5,likely_real_port,True
Koping,5,likely_real_port,True
Larvig,5,likely_real_port,True
"New Richmond, N.B.",5,likely_real_port,True
Pierce,5,likely_real_port,True
Cape,5,likely_real_port,True
l'Abbe,5,ambiguous,True
Nybamn,5,likely_real_port,True
Trangesund,5,likely_real_port,True
Guernsey,5,likely_real_port,True
Sandifjord,5,likely_real_port,True
Hall,5,likely_real_port,True
Royan,5,likely_real_port,True
Northport,5,likely_real_port,True
Santa Eugenia,5,likely_real_port,True
Machine.,5,likely_real_port,True
Kallero,5,likely_real_port,True
Grand Bassam,5,likely_real_port,True
Libreville,5,likely_real_port,True
Trondhjeim,5,likely_real_port,True
Port Townsend,5,likely_real_port,True
NOTE.,5,likely_real_port,True
"Sapelo, Ga.",5,likely_real_port,True
Skjoldvik,5,likely_real_port,True
Nebraska,5,likely_real_port,True
Rome,5,likely_real_port,True
Lake Wettern,5,likely_real_port,True
Hopewell Cape,5,likely_real_port,True
"Portland, Or.",5,likely_real_port,True
"selected stock of Prime Waney Board, Canary Wood, Mahogany and Cabinet Woods, in logs and board, Baltic Deals and Battens, seasoned Floorings, Linings, &c., Home",5,parsing_error,False
Chama,5,likely_real_port,True
Nouvelle,5,likely_real_port,True
"Boston, U.S.A.",5,ambiguous,True
Cispata,5,likely_real_port,True
Mo.,5,ocr_error,False
Flekkiefiord,4,likely_real_port,True
Wiscasset,4,likely_real_port,True
Hamburgh,4,likely_real_port,True
Calix,4,likely_real_port,True
"Cronstadt, -",4,likely_real_port,True
"St. John, N.B., -",4,ocr_error,False
"Rangoon, -",4,ambiguous,True
"Demerara, -",4,likely_real_port,True
Tatamagouche,4,likely_real_port,True
Savanilla,4,likely_real_port,True
"Minatitlan, -",4,likely_real_port,True
"Pensacola, -",4,likely_real_port,True
Dobay,4,likely_real_port,True
Utvik,4,likely_real_port,True
Canada,4,likely_real_port,True
"St. Mary's, Georgia",4,likely_real_port,True
East Pascagoula,4,likely_real_port,True
Tlacotalpan,4,likely_real_port,True
Sourabaya,4,likely_real_port,True
"York,",4,likely_real_port,True
"Shediac, N. B.",4,ambiguous,True
Surinam,4,likely_real_port,True
Santander,4,likely_real_port,True
Sverre,4,likely_real_port,True
Oscarhamn,4,likely_real_port,True
Gothenborg,4,likely_real_port,True
Minititlan,4,likely_real_port,True
"Dorchester, N.B.",4,likely_real_port,True
Halstad,4,likely_real_port,True
Christina,4,likely_real_port,True
Gdansk,4,likely_real_port,True
"Tusket, N.S.",4,ambiguous,True
Bergvara,4,likely_real_port,True
Dock.,4,likely_real_port,True
Christianstadt,4,likely_real_port,True
John.,4,likely_real_port,True
Drun.,4,likely_real_port,True
Stromstadt,4,likely_real_port,True
Goods.,4,likely_real_port,True
Betsiamites,4,likely_real_port,True
Livingston,4,likely_real_port,True
Fredrickshaldt,4,likely_real_port,True
Ytterstfors,4,likely_real_port,True
"Liscomb, N.S.",4,ambiguous,True
"Shields,",4,likely_real_port,True
Elizabeth,4,likely_real_port,True
St. Ignace,4,likely_real_port,True
California,4,likely_real_port,True
Randers,4,likely_real_port,True
Johan,4,likely_real_port,True
Dantzio,4,likely_real_port,True
Xtiansand,4,likely_real_port,True
R. Bernard,4,likely_real_port,True
Stockvik,4,likely_real_port,True
Stockavik,4,likely_real_port,True
Gamla Karleby,4,likely_real_port,True
Nyborg,4,likely_real_port,True
Hakkala,4,likely_real_port,True
Bellon,4,likely_real_port,True
"Spencer's Island, N.S.",4,likely_real_port,True
Hennebout,4,likely_real_port,True
Hennebon,4,likely_real_port,True
Prince Edward's Island,4,likely_real_port,True
"Advocate, N.S.",4,likely_real_port,True
Bay of Islands,4,likely_real_port,True
"John, N.B., spruce deals",4,likely_real_port,True
"Guysboro', N.S.",4,ambiguous,True
Landgangen,4,likely_real_port,True
Pernaviken,4,likely_real_port,True
"Caraquet, N.B.",4,likely_real_port,True
Nevis,4,likely_real_port,True
River St. Lawrence,4,likely_real_port,True
Hallstavik,4,likely_real_port,True
Galle,4,likely_real_port,True
Do.,4,ocr_error,False
Areachon,4,likely_real_port,True
"Beaufort, S.C.",4,likely_real_port,True
Sandeford,4,likely_real_port,True
Vancouver's Island,4,likely_real_port,True
Para,4,likely_real_port,True
No.,4,ocr_error,False
Accame,4,likely_real_port,True
Cabenda,4,likely_real_port,True
Leque,4,likely_real_port,True
Kiel,4,likely_real_port,True
Eatonville,4,likely_real_port,True
Bjornsborg,4,likely_real_port,True
"Brunswick, Georgia",4,likely_real_port,True
Droback,4,likely_real_port,True
Kongsberg,4,likely_real_port,True
Bankok,4,likely_real_port,True
Harbour,4,likely_real_port,True
Nicolaieff,4,likely_real_port,True
St. Vaast,4,likely_real_port,True
Ulvik,4,likely_real_port,True
Liscomb,4,likely_real_port,True
South,4,likely_real_port,True
Sundarne,4,likely_real_port,True
Ostende,4,likely_real_port,True
Gazette.,4,likely_real_port,True
"Packets, labelled",4,likely_real_port,True
Order,4,likely_real_port,True
Simon,4,likely_real_port,True
Naske,4,likely_real_port,True
Fredrick,4,likely_real_port,True
